dates,feriado
2016-01-01,Confraternização Universal
2016-03-25,Sexta-feira Santa
2016-04-21,Tiradentes
2016-05-01,Dia do Trabalhador
2016-09-07,Independência do Brasil
2016-10-12,Nossa Senhora Aparecida
2016-11-02,Finados
2016-11-15,Proclamação da República
2016-12-25,Natal
2016-02-08,Carnaval
2016-02-09,Carnaval
2016-02-10,Início da Quaresma
2016-05-26,Corpus Christi
2016-10-28,Dia do Servidor Público
2016-12-24,Véspera de Natal
2016-12-31,Véspera de Ano-Novo
2017-01-01,Confraternização Universal
2017-04-14,Sexta-feira Santa
2017-04-21,Tiradentes
2017-05-01,Dia do Trabalhador
2017-09-07,Independência do Brasil
2017-10-12,Nossa Senhora Aparecida
2017-11-02,Finados
2017-11-15,Proclamação da República
2017-12-25,Natal
2017-02-27,Carnaval
2017-02-28,Carnaval
2017-03-01,Início da Quaresma
2017-06-15,Corpus Christi
2017-10-28,Dia do Servidor Público
2017-12-24,Véspera de Natal
2017-12-31,Véspera de Ano-Novo
2018-01-01,Confraternização Universal
2018-03-30,Sexta-feira Santa
2018-04-21,Tiradentes
2018-05-01,Dia do Trabalhador
2018-09-07,Independência do Brasil
2018-10-12,Nossa Senhora Aparecida
2018-11-02,Finados
2018-11-15,Proclamação da República
2018-12-25,Natal
2018-02-12,Carnaval
2018-02-13,Carnaval
2018-02-14,Início da Quaresma
2018-05-31,Corpus Christi
2018-10-28,Dia do Servidor Público
2018-12-24,Véspera de Natal
2018-12-31,Véspera de Ano-Novo
2015-01-01,Confraternização Universal
2015-04-03,Sexta-feira Santa
2015-04-21,Tiradentes
2015-05-01,Dia do Trabalhador
2015-09-07,Independência do Brasil
2015-10-12,Nossa Senhora Aparecida
2015-11-02,Finados
2015-11-15,Proclamação da República
2015-12-25,Natal
2015-02-16,Carnaval
2015-02-17,Carnaval
2015-02-18,Início da Quaresma
2015-06-04,Corpus Christi
2015-10-28,Dia do Servidor Público
2015-12-24,Véspera de Natal
2015-12-31,Véspera de Ano-Novo
